Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512478555960	23.28	7872	1	7871.56	2.06317	7871.85	1.51911	7871.44	1.75784	7870.76	2.4271
1512478557620	23.54	7872	1	7871.56	2.06317	7871.85	1.51911	7871.44	1.75784	7870.76	2.4271
1512478558713	23.62	7880	1.41421	7880.24	2.25979	7880	2.23607	7879.92	1.86905	7879.28	1.96231
1512478559737	23.68	7882.11	1.53659	7881.88	1.76352	7881.77	1.73944	7881.88	1.76352	7881.76	1.99091
1512478560795	23.74	7887	1.80278	7886.88	2.26053	7886.92	1.84669	7886.6	1.91485	7886.45	2.22414
1512478561841	23.82	7887.89	1.76383	7888.08	1.89121	7888.08	1.89128	7888.04	1.90351	7888.37	1.92724
1512478562883	23.88	7891.56	1.424	7892.12	1.66633	7891.77	1.58923	7892.08	1.6052	7892.94	2.31757
1512478563893	23.96	7896.11	2.02759	7896.6	1.91485	7895.77	1.87767	7896.28	1.88237	7897.18	2.27835
1512478564935	24	7897.89	2.52212	7898.52	2.10396	7897.85	2.44425	7898.2	2.06155	7898.38	2.27489
1512478566172	24.09	7899.89	1.45297	7900.56	1.66032	7900.08	1.49786	7900.52	1.50333	7900.63	2.02477
1512478567190	24.14	7900.56	1.424	7900.64	1.70489	7900.54	1.45002	7900.56	1.50222	7900.89	1.96253
1512478568250	24.2	7901.56	1.23603	7902.2	1.41421	7901.77	1.16575	7901.92	1.32035	7901.9	1.9973
1512478569297	24.25	7900.11	1.16667	7900.8	1.55456	7900.31	1.37747	7900.84	1.54596	7902.06	2.05808
1512478570341	24.3	7900.22	1.09291	7901.2	1.58114	7900.85	1.86396	7901.16	1.65025	7902.08	1.79216
1512478571396	24.35	7899.67	1	7900.92	1.82392	7900.15	1.57301	7900.72	1.56844	7901.92	2.02417
1512478572440	24.39	7898.56	1.50923	7899.76	1.73877	7899	1.47196	7899.64	1.62993	7900.86	2.00159
1512478573488	24.44	7898.56	1.5899	7899.28	1.81475	7898.77	1.36344	7899.28	1.76824	7900.37	2.34619
1512478574518	24.47	7899.67	1.41421	7900.4	1.58114	7900.08	1.801	7900.36	1.43991	7900.54	1.89016
1512478575533	24.52	7899.33	1.93649	7900.12	1.94336	7899.85	1.99358	7899.96	1.67033	7900.31	2.1156
1512478576559	24.55	7898.11	1.36423	7899.04	1.96808	7898.69	1.70219	7898.92	1.6052	7899.37	2.08776
1512478577632	24.59	7897.44	1.33333	7898.04	1.42829	7897.62	1.38675	7897.88	1.42361	7898.72	1.90028
1512478578708	24.62	7896.44	1.94365	7897.2	1.68325	7896.77	1.7867	7897.08	1.6563	7897.87	1.88262
1512478579750	24.67	7895.44	1.33333	7896.08	1.68127	7895.54	1.39137	7895.88	1.48099	7896.94	1.97955
1512478580775	24.7	7893.33	1.73205	7894.16	1.79536	7893.54	1.5064	7894.08	1.6052	7894.73	1.98692
1512478581785	24.73	7891.89	1.76383	7892.12	1.50886	7891.92	1.49786	7892.4	1.58114	7892.99	2.05522
1512478582831	24.74	7891.22	1.64148	7891	1.41421	7890.92	1.49786	7891.16	1.43411	7891.64	2.02409
1512478583959	24.79	7889.33	1.11803	7889.72	1.56844	7889.62	1.19293	7889.92	1.70587	7890.35	1.93883
1512478585002	24.81	7888.78	1.48137	7889.16	1.72434	7888.92	1.38212	7889.12	1.42361	7889.66	2.18831
1512478586018	24.82	7887.78	1.20185	7888.2	1.87083	7888	1.1547	7888.08	1.46969	7888.47	2.07175
1512478587094	24.84	7888	1.41421	7888.32	1.74929	7888.23	1.48064	7888.32	1.40594	7888.35	2.21505
1512478588118	24.85	7886.78	1.30171	7887.12	1.50886	7886.92	1.38212	7887.12	1.42361	7887.53	2.054
1512478589156	24.88	7886.22	0.971825	7886.68	1.65126	7886.23	1.30089	7886.44	1.47422	7886.94	2.12286
1512478590218	24.91	7885	1.41421	7885.72	1.83757	7885.15	1.57301	7885.52	1.78232	7886.47	2.28449
1512478591244	24.92	7884.33	1.32288	7885	1.44338	7884.69	1.49358	7884.84	1.46287	7885.71	1.83676
1512478592270	24.95	7884	1.11803	7884.72	1.51438	7884.23	1.16575	7884.6	1.60728	7885.44	1.93052
1512478593311	24.96	7882.44	2.12786	7882.52	1.73494	7882.23	1.96443	7882.12	1.64114	7882.76	1.85831
1512478594316	24.99	7881.22	1.71594	7881.52	1.78232	7881.08	1.49786	7881.2	1.47196	7881.7	1.92863
1512478595414	25	7879	2.06155	7879.68	2.05589	7879	1.77951	7879.44	1.68523	7880.49	2.10186
1512478596418	25.01	7878.22	2.04803	7879.6	2.25462	7878.69	2.05688	7879.36	2.03879	7880.16	2.17947
1512478597424	25.03	7878.33	1.65831	7878.8	1.65831	7878.31	1.37747	7878.64	1.57797	7878.85	1.96842
1512478598439	25.03	7878.22	1.64148	7878.64	1.93391	7878.15	1.57301	7878.64	1.93391	7879.32	2.20095
1512478599465	25.05	7876.44	2.29734	7877.8	2.23607	7876.69	1.97419	7877.48	1.8735	7878.62	2.1598
1512478600491	25.05	7876.11	1.45297	7877.08	1.6563	7876.46	1.45002	7877.04	1.48549	7877.74	1.99938
1512478601517	25.08	7877.78	2.16667	7878.16	1.62481	7877.92	1.89128	7877.92	1.52534	7878.18	1.94456
1512478602536	25.08	7876.22	1.85592	7876.68	1.67631	7876.23	1.64083	7876.2	1.55456	7877.5	2.17017
1512478603615	25.08	7877.44	1.87824	7877.64	1.62993	7877.31	1.60128	7877.52	1.50333	7877.98	2.0232
1512478604708	25.12	7876.89	2.02759	7877.28	1.92614	7876.77	1.7867	7877.04	1.81384	7877.84	2.24075
1512478605792	25.12	7874.78	1.7873	7875.2	2	7874.62	1.85016	7875.08	1.82392	7876.13	2.27505
1512478606808	25.13	7875.11	1.69148	7875.8	2.06155	7875.23	1.92154	7875.64	1.84572	7875.83	2.20404
1512478607903	25.14	7874.89	1.76383	7875.4	2.39792	7874.85	1.90815	7875	1.84842	7876.16	2.50626
1512478609044	25.16	7874.22	1.30171	7874.72	1.74452	7874.46	1.56074	7874.28	1.67133	7874.23	2.09659
1512478610163	25.17	7873.67	1.87083	7874.6	2.16025	7874	1.77951	7874.2	1.93649	7874.76	2.1783
1512478611203	25.18	7873.33	1.41421	7873.84	1.90788	7873.46	1.5064	7873.4	1.77951	7873.82	2.16988
1512478612228	25.19	7873.44	1.33333	7873.32	1.4922	7873.31	1.18213	7873.08	1.38203	7873.97	2.4419
1512478613254	25.2	7872.33	2.23607	7872.84	1.79536	7872.31	1.88788	7872.52	1.68622	7873.34	2.33085
1512478614324	25.2	7872.78	1.98606	7872.12	1.69115	7872.15	1.95133	7871.8	1.73205	7872.03	2.32493
1512478615420	25.22	7871.78	2.27913	7871.4	1.60728	7871.54	1.98391	7871.28	1.6207	7871.78	2.32162
1512478616445	25.24	7870.78	1.85592	7871.52	1.8735	7870.92	1.84669	7871.44	1.70978	7871.19	2.10318
1512478617537	25.23	7869.56	1.424	7869.96	1.7673	7869.46	1.61325	7869.76	1.69017	7870.11	2.05487
1512478618655	25.25	7868.11	1.45297	7869.08	1.91311	7868.23	1.5359	7868.84	1.72434	7869.45	2.07876
1512478619751	25.25	7869.33	1.41421	7869.84	1.772	7869.69	1.4367	7869.76	1.69017	7870.21	2.0332
1512478620776	25.25	7869.67	1.32288	7870	1.5	7869.77	1.23517	7869.84	1.43411	7870.83	2.2585
1512478621802	25.27	7869.67	1.93649	7869.88	1.45258	7869.54	1.6641	7869.56	1.52971	7869.76	2.07294
1512478622847	25.28	7868	1.65831	7868.44	1.66032	7868	1.63299	7868.24	1.5885	7868.83	2.08753
1512478623900	25.28	7866.89	1.16667	7866.88	1.36382	7866.77	1.16575	7866.68	1.249	7867.56	2.05594
1512478624993	25.29	7866.44	1.23603	7866.56	1.47422	7866.31	1.37747	7866.4	1.60728	7867.34	2.14708
1512478626018	25.29	7867.78	1.85592	7867.8	1.91485	7867.46	1.71345	7867.4	1.89297	7868.45	2.27037
1512478627077	25.3	7867.56	1.87824	7868	2.04124	7867.31	1.6525	7867.68	1.95192	7868.61	2.07675
1512478628159	25.29	7866.78	2.33333	7866.88	1.85562	7866.62	2.2188	7866.72	1.83757	7867.56	2.42753
1512478629231	25.31	7867.44	1.94365	7867.72	1.79165	7867.62	2.02231	7867.68	1.77294	7868.28	2.0933
1512478630284	25.31	7867.11	2.08833	7866.84	1.72434	7867	2.08167	7866.8	1.73205	7867.08	2.06997
1512478631315	25.32	7866.44	1.81046	7866.84	1.62481	7866.92	1.97744	7866.8	1.63299	7867.38	1.9992
1512478632395	25.32	7869.44	3.24465	7868.04	2.7	7869.08	3.17442	7868.08	2.70678	7867.92	2.40208
1512478633448	25.34	7866.56	1.23603	7867.04	1.48549	7866.77	1.23517	7866.84	1.54596	7867.5	2.11917
1512478634452	25.34	7866.11	1.2693	7867.08	1.55242	7866.54	1.33012	7867.08	1.77764	7868.73	2.92835
1512478635477	25.34	7867.11	1.36423	7867.32	1.51987	7867.31	1.25064	7867.48	1.5308	7867.96	2.26346
1512478636551	25.35	7865.56	1.74005	7866.04	1.88149	7866.15	1.81871	7866.04	1.7673	7867.04	2.40956
1512478637643	25.35	7863	1.32288	7863.68	1.6	7863.54	1.45002	7863.64	1.49666	7864.71	2.24971
1512478638668	25.37	7864.56	1.81046	7864.32	1.67631	7864.46	1.85362	7864.44	1.52971	7864.62	2.18854
1512478639694	25.37	7863.78	1.7873	7864.08	1.6563	7863.69	1.60128	7863.92	1.57903	7864.85	2.38337
1512478640982	25.37	7864.11	2.02759	7864	1.63299	7863.85	1.81871	7863.76	1.5885	7864.38	2.29287
1512478642019	25.37	7867.11	1.76383	7866.84	1.90788	7866.92	1.89128	7866.72	1.96893	7866.13	2.12593
1512478643096	25.38	7865.33	1.73205	7865.16	2.21133	7865.38	1.7097	7865.12	2.08806	7865.07	2.20573
1512478644130	25.39	7863.44	1.94365	7863.84	1.92959	7863.38	1.66024	7863.68	1.99416	7864.56	2.29079
1512478645172	25.39	7862.67	2.23607	7863	1.68325	7862.69	1.97419	7862.92	1.77764	7864.22	2.18353
1512478646208	25.4	7863.22	2.81859	7863.52	2.53509	7863.38	2.53438	7863.52	2.53509	7864.16	2.29735
1512478647245	25.39	7864.67	1.65831	7865.08	1.70587	7864.62	1.50214	7865.16	1.86369	7865.99	2.61205
1512478648339	25.4	7865.78	1.98606	7865.92	1.63095	7865.92	1.93484	7865.8	1.70783	7865.88	2.25492
1512478649358	25.41	7864.22	2.53859	7864.84	2.21133	7864.15	2.19265	7864.52	2.25684	7865.51	2.23399
1512478650406	25.41	7863.89	2.75882	7863.96	2.18861	7863.54	2.43637	7863.52	2.18174	7863.96	2.26806
1512478651432	25.41	7862.11	1.90029	7862.76	1.71464	7862.15	1.57301	7862.6	1.68325	7863.94	2.43068
1512478652488	25.42	7861.78	1.48137	7862.36	1.89033	7861.69	1.31559	7862.2	2.02073	7863.36	2.57655
1512478653521	25.42	7862.78	1.56347	7862.8	1.80278	7862.62	1.80455	7862.56	1.78139	7863.85	2.44592
1512478654526	25.42	7864.44	1.50923	7863.92	1.82392	7864	1.47196	7863.84	1.8412	7864.11	2.25314
1512478655569	25.42	7864.22	1.71594	7863.96	2.16949	7863.85	2.11527	7863.92	2.13931	7864.66	2.73236
1512478656658	25.42	7864.67	2.73861	7865.12	2.68204	7864.54	2.69615	7864.92	2.5482	7865.66	2.40995
1512478657709	25.42	7864.89	2.14735	7865.4	2.48328	7864.92	2.06	7865.16	2.44404	7865.65	2.25467
1512478658718	25.43	7865.56	1.424	7866.08	1.95619	7865.62	1.50214	7865.44	1.68523	7866.37	2.17093
1512478659738	25.43	7865.56	0.881917	7865.12	1.66633	7865.08	1.32045	7864.92	1.55242	7865.85	2.18737
1512478660904	25.43	7865.33	2	7865.6	2.23607	7865.38	2.02231	7865.28	1.96893	7865.66	2.15715
1512478661971	25.42	7865.56	1.50923	7865.92	2.21585	7865.38	1.66024	7865.64	2.03879	7866.5	2.29838
1512478663067	25.42	7865.44	1.87824	7865.8	2.04124	7865.46	2.02548	7865.4	1.68325	7865.96	2.04219
